--- Stage 1: Flights Created ---
123 07Mar23 08:00 11:00 (2023_10) Weekday: 2
123 08Mar23 08:00 11:00 (2023_10) Weekday: 3
123 09Mar23 08:00 11:00 (2023_10) Weekday: 4
123 10Mar23 08:00 11:00 (2023_10) Weekday: 5
123 11Mar23 08:00 11:00 (2023_10) Weekday: 6
123 12Mar23 08:00 11:00 (2023_10) Weekday: 7
123 13Mar23 08:00 11:00 (2023_11) Weekday: 1
123 14Mar23 08:00 11:00 (2023_11) Weekday: 2
123 15Mar23 08:00 11:00 (2023_11) Weekday: 3
123 16Mar23 08:00 11:00 (2023_11) Weekday: 4
123 17Mar23 08:00 11:00 (2023_11) Weekday: 5
123 18Mar23 08:00 11:00 (2023_11) Weekday: 6
123 19Mar23 08:00 11:00 (2023_11) Weekday: 7
123 20Mar23 08:00 11:00 (2023_12) Weekday: 1
123 21Mar23 08:00 11:00 (2023_12) Weekday: 2
123 22Mar23 08:00 11:00 (2023_12) Weekday: 3
123 23Mar23 08:00 11:00 (2023_12) Weekday: 4
123 24Mar23 08:00 11:00 (2023_12) Weekday: 5
123 25Mar23 08:00 11:00 (2023_12) Weekday: 6
123 26Mar23 08:00 11:00 (2023_12) Weekday: 7
123 28Mar23 08:00 11:00 (2023_13) Weekday: 2
123 30Mar23 08:00 11:00 (2023_13) Weekday: 4
123 31Mar23 08:00 11:00 (2023_13) Weekday: 5
123 01Apr23 08:00 11:00 (2023_13) Weekday: 6
123 02Apr23 08:00 11:00 (2023_13) Weekday: 7
123 03Apr23 08:00 11:00 (2023_14) Weekday: 1
123 04Apr23 08:00 11:00 (2023_14) Weekday: 2
123 05Apr23 08:00 11:00 (2023_14) Weekday: 3
123 06Apr23 08:00 11:00 (2023_14) Weekday: 4
123 08Apr23 08:00 11:00 (2023_14) Weekday: 6
123 09Apr23 08:00 11:00 (2023_14) Weekday: 7
123 11Apr23 08:00 11:00 (2023_15) Weekday: 2
123 12Apr23 08:00 11:00 (2023_15) Weekday: 3
123 13Apr23 08:00 11:00 (2023_15) Weekday: 4
123 14Apr23 08:00 11:00 (2023_15) Weekday: 5
123 15Apr23 08:00 11:00 (2023_15) Weekday: 6
123 16Apr23 08:00 11:00 (2023_15) Weekday: 7
123 17Apr23 08:00 11:00 (2023_16) Weekday: 1
123 18Apr23 08:00 11:00 (2023_16) Weekday: 2
123 19Apr23 08:00 11:00 (2023_16) Weekday: 3
123 20Apr23 08:00 11:00 (2023_16) Weekday: 4
123 21Apr23 08:00 11:00 (2023_16) Weekday: 5
123 22Apr23 08:00 11:00 (2023_16) Weekday: 6
123 23Apr23 08:00 11:00 (2023_16) Weekday: 7
123 24Apr23 08:00 11:00 (2023_17) Weekday: 1
123 25Apr23 08:00 11:00 (2023_17) Weekday: 2
123 26Apr23 08:00 11:00 (2023_17) Weekday: 3
123 27Apr23 08:00 11:00 (2023_17) Weekday: 4
123 28Apr23 08:00 11:00 (2023_17) Weekday: 5
123 29Apr23 08:00 11:00 (2023_17) Weekday: 6
123 30Apr23 08:00 11:00 (2023_17) Weekday: 7
123 01May23 08:00 11:00 (2023_18) Weekday: 1
123 02May23 08:00 11:00 (2023_18) Weekday: 2
123 03May23 08:00 11:00 (2023_18) Weekday: 3
123 04May23 08:00 11:00 (2023_18) Weekday: 4
123 05May23 08:00 11:00 (2023_18) Weekday: 5
123 06May23 08:00 11:00 (2023_18) Weekday: 6
123 07May23 08:00 11:00 (2023_18) Weekday: 7
123 08May23 08:00 11:00 (2023_19) Weekday: 1
123 09May23 08:00 11:00 (2023_19) Weekday: 2

--- Stage 2: Flights by Week ---
('2022_44', '2022_44'): .234567
('2022_45', '2022_45'): 1234567
('2022_46', '2022_46'): 1234567
('2022_47', '2022_47'): 1234567
('2022_48', '2022_48'): 1234567
('2022_49', '2022_49'): .234567
('2022_50', '2022_50'): 1234567
('2022_51', '2022_51'): 1234567
('2022_52', '2022_52'): 1234567
('2023_01', '2023_01'): 1234567
('2023_02', '2023_02'): 123456.
('2023_03', '2023_03'): 1234567
('2023_04', '2023_04'): 1234567
('2023_05', '2023_05'): 1234567
('2023_06', '2023_06'): 1234.67
('2023_07', '2023_07'): .234567
('2023_08', '2023_08'): 1234567
('2023_09', '2023_09'): 1234567
('2023_10', '2023_10'): 1234567
('2023_11', '2023_11'): 1234567
('2023_12', '2023_12'): 1234567
('2023_13', '2023_13'): .2.4567
('2023_14', '2023_14'): 1234.67
('2023_15', '2023_15'): .234567
('2023_16', '2023_16'): 1234567
('2023_17', '2023_17'): 1234567
('2023_18', '2023_18'): 1234567
('2023_19', '2023_19'): 12.....

--- Stage 2.5: Flights by Week after handling dates outside range ---
('2022_44', '2022_44'): 1234567
('2022_45', '2022_45'): 1234567
('2022_46', '2022_46'): 1234567
('2022_47', '2022_47'): 1234567
('2022_48', '2022_48'): 1234567
('2022_49', '2022_49'): .234567
('2022_50', '2022_50'): 1234567
('2022_51', '2022_51'): 1234567
('2022_52', '2022_52'): 1234567
('2023_01', '2023_01'): 1234567
('2023_02', '2023_02'): 123456.
('2023_03', '2023_03'): 1234567
('2023_04', '2023_04'): 1234567
('2023_05', '2023_05'): 1234567
('2023_06', '2023_06'): 1234.67
('2023_07', '2023_07'): .234567
('2023_08', '2023_08'): 1234567
('2023_09', '2023_09'): 1234567
('2023_10', '2023_10'): 1234567
('2023_11', '2023_11'): 1234567
('2023_12', '2023_12'): 1234567
('2023_13', '2023_13'): .2.4567
('2023_14', '2023_14'): 1234.67
('2023_15', '2023_15'): .234567
('2023_16', '2023_16'): 1234567
('2023_17', '2023_17'): 1234567
('2023_18', '2023_18'): 1234567
('2023_19', '2023_19'): 1234567

--- Stage 3: Flight Series Minimal Representation --- Elapsed time: 0.041767120361328125 seconds
('01Nov22', '04Dec22'): 1234567
('05Dec22', '11Dec22'): .234567
('12Dec22', '08Jan23'): 1234567
('09Jan23', '15Jan23'): 123456.
('16Jan23', '05Feb23'): 1234567
('06Feb23', '12Feb23'): 1234.67
('13Feb23', '19Feb23'): .234567
('20Feb23', '26Mar23'): 1234567
('27Mar23', '02Apr23'): .2.4567
('03Apr23', '09Apr23'): 1234.67
('10Apr23', '16Apr23'): .234567
('17Apr23', '09May23'): 1234567
